Optimizer,objfname,ExecutionTime,MinError,MeanError,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,F1,0.85,0.0007369217350765145,0.003940005719087809,52199.94,39594.13,30648.01,25505.91,19161.24,14811.32,11287.65,8819.69,6667.18,4943.16,3873.61,2917.21,2020.06,1563.49,1115.79,762.62,575.83,410.19,316.54,226.67,161.73,118.11,81.66,61.22,43.25,31.11,24.15,18.12,13.01,9.99,7.51,5.76,4.56,3.51,2.7,2.1,1.64,1.34,1.08,0.84,0.67,0.55,0.45,0.36,0.29,0.24,0.2,0.17,0.15,0.13,0.11,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F2,0.87,0.005866649752956496,0.010625292007535054,29691613184.68,409474985.23,1495316.46,304707.58,3199.19,227.01,70.71,49.31,41.45,34.13,29.2,24.72,21.1,16.96,14.12,11.87,9.85,8.23,6.82,5.72,4.85,4.03,3.28,2.75,2.24,1.92,1.62,1.33,1.12,0.95,0.8,0.66,0.56,0.48,0.4,0.34,0.3,0.25,0.22,0.2,0.17,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GWO,F3,1.02,59.26979828150604,469.5355479041106,118279.24,91728.1,80760.0,68808.15,60905.83,55119.26,51335.07,47288.24,42451.68,39031.75,34825.83,31495.26,30858.67,28766.55,26490.74,23878.19,21881.86,21090.97,19868.71,18522.08,17769.12,16884.28,15888.65,13726.9,13012.75,12061.86,11323.39,10582.15,10170.63,9572.2,9075.72,8793.17,8416.07,7800.5,7255.15,6935.08,6514.15,6041.82,5460.96,5043.34,4676.35,4332.04,4142.21,3964.53,3748.76,3427.8,3189.08,3078.0,2849.38,2674.9,2542.56,2425.99,2324.6,2155.06,2094.87,1965.81,1886.42,1767.39,1643.27,1572.42,1505.48,1412.65,1348.08,1274.82,1227.08,1164.73,1102.7,1052.59,1013.1,969.72,936.25,904.54,863.67,834.95,812.21,789.97,762.51,738.12,718.13,695.8,667.69,649.33,630.05,608.99,592.77,572.14,559.63,545.18,534.09,520.79,511.49,502.49,494.69,487.82,482.94,477.16,473.54,471.08,469.55,469.54
GWO,F4,0.85,0.614678784490634,1.3823997852706944,85.89,84.31,80.48,77.26,71.94,67.93,61.63,58.44,54.16,50.64,47.34,44.21,40.84,37.96,35.86,33.34,30.47,28.65,26.45,24.82,22.75,21.21,19.63,18.6,17.0,15.46,14.49,13.51,12.67,12.02,11.28,10.39,9.8,9.18,8.62,8.21,7.72,7.26,6.87,6.49,6.1,5.89,5.51,5.19,4.96,4.74,4.5,4.34,4.12,3.97,3.84,3.71,3.5,3.35,3.22,3.12,3.02,2.89,2.81,2.7,2.63,2.56,2.48,2.39,2.32,2.27,2.2,2.15,2.11,2.06,2.01,1.97,1.93,1.88,1.86,1.82,1.79,1.75,1.71,1.69,1.66,1.63,1.6,1.58,1.56,1.54,1.52,1.5,1.49,1.47,1.46,1.44,1.43,1.42,1.41,1.4,1.39,1.39,1.38,1.38
GWO,F5,0.87,27.29561864554653,28.592110519061382,2365472.28,1576241.35,1037925.47,711463.98,515540.85,327491.44,233437.28,144757.89,95625.57,63895.53,40042.18,24467.16,17062.07,11694.9,7290.84,4446.72,3210.15,2207.83,1508.16,1028.74,722.36,553.6,426.91,335.14,253.08,211.46,170.42,144.55,121.78,107.22,95.76,84.85,75.7,66.5,59.75,54.03,49.32,45.96,42.99,40.54,38.6,36.64,35.23,34.41,33.52,32.86,32.17,31.81,31.29,30.89,30.63,30.4,30.2,30.04,29.88,29.77,29.65,29.53,29.43,29.38,29.28,29.25,29.2,29.13,29.09,29.04,29.0,28.97,28.93,28.9,28.87,28.86,28.83,28.81,28.8,28.78,28.76,28.75,28.73,28.72,28.71,28.69,28.68,28.68,28.67,28.66,28.65,28.64,28.63,28.63,28.62,28.61,28.61,28.6,28.6,28.6,28.59,28.59,28.59,28.59
GWO,F6,0.86,1.5380385552558935,2.582374292959582,51265.86,39257.79,29668.63,24236.27,18499.23,14667.65,10820.14,8552.23,6588.2,4798.83,3471.13,2545.33,1838.8,1336.75,992.71,754.05,527.02,376.52,278.77,195.32,152.13,107.03,79.13,58.41,40.79,30.75,23.04,17.66,14.35,11.51,9.25,8.0,6.85,6.09,5.49,5.04,4.76,4.42,4.16,4.01,3.84,3.74,3.64,3.57,3.47,3.42,3.37,3.31,3.26,3.23,3.18,3.16,3.13,3.09,3.06,3.04,3.01,2.99,2.97,2.95,2.94,2.91,2.9,2.88,2.86,2.84,2.82,2.81,2.79,2.78,2.77,2.76,2.75,2.74,2.72,2.72,2.71,2.7,2.69,2.68,2.67,2.66,2.65,2.64,2.64,2.63,2.62,2.62,2.61,2.61,2.6,2.6,2.59,2.59,2.59,2.59,2.58,2.58,2.58,2.58
GWO,F7,0.84,0.005010819885402913,0.018426249941420336,81.49,58.52,36.37,22.66,14.6,9.01,6.16,4.35,2.67,1.87,1.37,0.95,0.67,0.49,0.42,0.31,0.26,0.22,0.19,0.17,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
GWO,F8,0.87,5444.654876173931,7617.558982777696,-2237.44,-2329.36,-2409.46,-2481.01,-2565.83,-2626.55,-2681.28,-2720.11,-2736.52,-2776.18,-2781.73,-2793.35,-2832.25,-2840.46,-2840.46,-2841.93,-2842.64,-2846.1,-2846.1,-2848.34,-2848.34,-2860.17,-2866.04,-2884.78,-2884.78,-2900.19,-2900.19,-2900.19,-2960.23,-2977.01,-3001.65,-3037.66,-3037.66,-3037.66,-3044.73,-3044.73,-3087.58,-3091.96,-3095.33,-3099.82,-3119.24,-3135.2,-3135.2,-3153.25,-3163.45,-3163.45,-3165.31,-3180.51,-3181.05,-3181.05,-3211.19,-3211.19,-3211.19,-3221.97,-3246.68,-3256.98,-3257.43,-3269.9,-3311.05,-3328.29,-3348.88,-3374.96,-3388.73,-3487.39,-3497.79,-3538.36,-3594.28,-3651.6,-3707.73,-3718.61,-3740.3,-3827.81,-3860.92,-3903.4,-3969.26,-4010.15,-4064.49,-4130.85,-4201.37,-4247.77,-4324.48,-4424.69,-4469.41,-4509.87,-4560.58,-4604.2,-4627.3,-4678.85,-4706.4,-4745.22,-4785.63,-4814.69,-4838.8,-4868.51,-4890.37,-4917.42,-4933.93,-4944.16,-4951.56,-4951.94
GWO,F9,0.83,20.276702064101812,47.659498373954165,390.79,372.56,354.11,336.86,323.27,311.42,302.99,289.48,285.01,275.79,268.77,261.06,255.08,249.43,243.97,236.71,230.92,224.04,217.63,211.74,206.54,198.02,193.68,186.84,185.05,180.07,177.18,173.03,171.83,168.21,164.64,159.44,156.3,153.91,151.38,148.3,146.0,143.97,141.33,140.36,137.74,136.25,132.52,130.17,128.14,125.91,124.12,122.4,121.16,118.41,117.39,116.48,113.7,112.26,109.61,108.43,105.76,104.65,102.5,99.88,98.09,95.96,93.77,92.23,91.8,91.32,87.34,86.48,84.5,83.49,81.58,79.28,77.77,75.45,73.4,72.05,70.29,69.06,67.22,65.42,63.43,61.37,59.53,58.63,57.56,56.32,55.24,54.33,53.1,52.2,51.61,50.99,50.22,49.6,49.09,48.58,48.18,47.84,47.67,47.66
GWO,F10,0.88,0.004189401094813139,0.011026502840734734,20.25,19.78,19.14,18.47,17.46,16.74,15.9,14.95,13.76,12.62,11.53,10.61,9.62,8.7,7.81,7.07,6.42,5.78,5.23,4.75,4.34,3.93,3.62,3.29,3.03,2.77,2.53,2.21,1.94,1.65,1.36,1.12,0.93,0.77,0.63,0.52,0.43,0.36,0.3,0.26,0.22,0.19,0.17,0.15,0.13,0.11,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
