Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
SSA,F6,0.9074816703796387,0.0,20263.436748972268,9851.79552350036,8264.95724131665,6793.8642541268855,6259.838590283115,5864.910330074023,5679.020239695714,5552.487306238328,5388.342216648488,5228.439203004938,5157.713155739437,5157.713155739437,5157.713155739437,5157.713155739437,5157.713155739437,5157.713155739437,5157.713155739437,5157.713155739437,5157.713155739437,5157.713155739437,5095.996488213653,4338.677222849539,3934.673409360856,3618.9002752807955,3370.2759579947156,2987.1701565090175,2838.791523339971,2722.8722016835213,2591.3711530946257,2545.957090802344,2498.4546042332017,2453.7862329841046,2438.08076769765,2417.3747063280744,2410.3350160351647,2407.1273883893605,2403.7192427442164,2401.7045599401313,2400.5532898149677,2399.4618479548185,2398.8195689835397,2398.5690949131867,2398.482847163557,2398.4103160648015,2398.3726833923342,2398.348403280074,2398.3311110052296,2398.3250155209025,2398.3202668932154
SSA,F6,0.9076902866363525,0.0,24362.14065113608,12678.520572978223,11179.102025443177,9794.508565928141,8855.70814121218,8400.608018329238,8059.845025806815,7763.286998939811,7518.073163917291,7309.0216175400055,7132.804568153518,6976.03437454224,6801.967009433478,6733.273231431239,6733.273231431239,6733.273231431239,6733.273231431239,6733.273231431239,4706.33955176484,4498.1942835474965,4264.9621758102085,4090.0738148261835,3715.558950089927,3450.8272650477716,3056.662378589981,2788.904656115165,2626.4513657043285,2504.0672397634426,2397.1259618480485,2342.71472098433,2307.9666741625138,2282.8032282348777,2267.043266882344,2256.4153241347108,2252.681655337641,2245.317107949146,2241.0513778676277,2238.855855055119,2237.030956855792,2236.124186129789,2235.488504701032,2235.235469920168,2235.130116145414,2235.0164636516483,2234.970040626808,2234.9414079079947,2234.917371823058,2234.905737006903,2234.902214357516
SSA,F6,0.9139735698699951,0.0,20252.845619698743,13213.677896506373,9970.528122328897,8243.548287982409,7017.942334813617,6236.391647741464,5690.480757249433,5308.201966278234,4983.114411064277,4764.021815534587,4679.1222730339005,4679.1222730339005,4679.1222730339005,4679.1222730339005,4679.1222730339005,4679.1222730339005,4679.1222730339005,4679.1222730339005,4679.1222730339005,4612.216237374165,4222.305149108332,3435.941601343037,3114.178866600747,2421.746574371664,2139.1515368390556,1990.8661653649149,1894.5505182153468,1801.1853782442688,1725.4206577972525,1632.2169061594245,1603.6566494955082,1578.9741313096692,1564.7728532152755,1552.5491004605644,1543.0204063974686,1536.8229285991451,1534.316368182221,1532.9466062831016,1531.9435703461272,1531.1846141423216,1530.786339862569,1530.5920134237151,1530.4366798138253,1530.3263464355284,1530.29574356317,1530.2691032448283,1530.2569631934323,1530.2476770616224,1530.2448641305666
SSA,F6,0.9056987762451172,0.0,23996.527374608482,12824.123092528018,10171.952830132097,9153.235193717639,8288.036071025366,7977.474401031425,7721.2079951095375,7627.230341160806,7616.518108465739,7616.518108465739,7616.518108465739,7616.518108465739,7616.518108465739,7616.518108465739,7616.518108465739,7570.371122676384,7501.222646889663,7432.118357433871,7224.467343570647,7224.467343570647,5815.98864838975,5135.261375719303,4248.565337587001,3816.99937690095,3379.0533806886815,3196.9775212374293,3082.6391627950175,2912.2719645626453,2829.9660915268882,2763.8171876106726,2727.1617764058874,2708.6007773976057,2679.5320554970117,2667.9262187586774,2655.5216227599212,2650.2238189353743,2648.3742421591096,2645.9616986067895,2645.120065496185,2644.2389485120634,2643.714369142025,2643.512170062135,2643.2572825697775,2643.1762728496487,2643.1261533106476,2643.0951169563245,2643.0795168551545,2643.07376366203,2643.0685569257516
SSA,F6,0.9101896286010742,0.0,22516.49043120751,12931.543560528211,10043.639373658581,9128.792295486068,8235.272048121893,7499.178324718837,7056.038921404631,6720.382024886861,6432.3675418852235,6166.847208985278,5927.090880884509,5712.986987711219,5486.3860785668785,5350.263885974324,5350.263885974324,5350.263885974324,5350.263885974324,5350.263885974324,5350.263885974324,5350.263885974324,5261.427631702457,5047.4782337293545,4605.284503356265,4127.923984671838,3727.2706273080653,3295.2859356966924,3113.243228645921,2959.038148777869,2883.8307270434666,2838.1856856139993,2784.7915710051752,2761.738499723763,2743.1377083856296,2730.2346406827714,2719.8689932600037,2711.5147845069264,2707.76668673707,2705.217778678809,2703.661368310442,2702.85053308797,2702.3283445830216,2702.158415964006,2701.997981915087,2701.9016891448005,2701.828619541015,2701.791359925402,2701.7806929509075,2701.7702287411284,2701.7646267937466
SSA,F6,0.9090232849121094,0.0,15764.10846443017,7562.847899322764,6371.9555457319,4918.755375732345,4125.707771555939,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3941.675257178646,3478.9427822659723,3283.7241860041095,3179.7391146368673,2818.8091512948517,2546.7114047126056,2303.346496872893,2101.8427558084763,1938.0742697426188,1851.4874965704653,1795.1184057670519,1752.0296252337253,1711.0428102379399,1681.265771345999,1655.9848977055033,1647.8414947820556,1643.2754196085377,1639.4204019658193,1637.2423921201123,1635.8153396545645,1634.935153871202,1634.3194963940387,1634.0333630239534,1633.8683050777217,1633.7770956029542,1633.712608551443,1633.682181810598,1633.6553391125458,1633.6429674288959,1633.6377193217982,1633.6331783263347
SSA,F6,0.91544508934021,0.0,19684.1186640118,12310.852504093866,10248.149821824009,9745.9767992887,9195.933467785077,8927.209280653746,8489.900861545711,8124.000068611729,7866.640176913851,7678.846522995483,7539.327570514744,7435.993566742461,7343.2468949316235,7260.293560081501,7260.293560081501,7260.293560081501,7260.293560081501,7260.293560081501,7260.293560081501,6830.074504908395,5743.660902887385,5422.076610428248,4692.035388432226,4436.056350463677,4090.892600588292,3553.683516542789,3349.4332155192837,3243.7598839449265,3161.1327478540393,3093.362027327996,3046.4925202602326,3024.647218826035,3006.578899959238,2992.3669200172653,2986.0180423893644,2981.728724486957,2977.7884649603843,2974.898487128025,2973.6477136158232,2972.484609667215,2971.8853968599415,2971.6610101004662,2971.4775465691832,2971.3750118307553,2971.3177756969308,2971.290099387428,2971.271710799628,2971.260902927604,2971.2556098173745
SSA,F6,0.9027383327484131,0.0,27973.001093703082,14067.033292010468,10906.836160678926,9161.605542779813,8002.1569821696285,7307.724965323053,6804.3013640264435,6433.275143069593,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,6265.935407776653,5811.854061541858,5298.119763726028,5141.898180905119,4531.293345665821,3884.351480662169,3394.0455119369503,3095.3559351415925,2840.639892638473,2672.483748480007,2534.7458852787286,2449.0409931524455,2400.641495128747,2358.5489418018324,2342.854313873078,2329.3832159004414,2319.7387656548144,2315.1493438445873,2312.528350202416,2310.1535908020346,2308.409180586174,2307.3366947506834,2306.6887654765947,2306.3182079164494,2306.1806888684064,2306.096620972915,2306.04671034161,2306.0168853050395,2306.0032008195403,2305.992820313704,2305.9884242473336
SSA,F6,0.9175035953521729,0.0,26391.472351674805,14207.260240996926,11223.648151225078,10201.036545913907,9582.486922577284,9070.727184641128,8622.212052483466,8262.95609285575,8020.911284616609,7889.762189425307,7828.1270509023025,7781.552321761706,7706.396340384,7582.3865159288935,7412.114983352144,7213.0198650695975,7008.637322255884,6365.004302741645,6055.130386516628,5639.219260453091,5237.524944281628,5064.738931134925,4360.134715396265,4103.037485973924,3814.255987324708,3472.5532194826624,3128.8261496271525,3026.3318257722253,2926.6420149426267,2874.060212790156,2823.148337034221,2791.4730911193737,2771.069465762414,2759.251475258505,2750.2683273712455,2742.3029200304745,2736.443486113897,2733.9316248108044,2731.807911544658,2730.8227137032904,2730.2951999200886,2729.844479642674,2729.6548832758963,2729.529621087661,2729.473246776381,2729.452843591468,2729.436526663575,2729.42538732938,2729.4211637007143
SSA,F6,0.9053421020507812,0.0,19075.315526224404,8497.594225533758,6593.378460865574,5697.2653945592465,5115.58226182202,4772.480146269812,4587.351755474756,4517.220077765047,4490.452763225221,4481.706971805511,4475.553830416217,4461.377462613423,4450.260858985561,4443.721409073881,4443.721409073881,4443.721409073881,4443.721409073881,4443.721409073881,4443.721409073881,4287.706924764936,3855.779791829554,3562.7461397642837,3152.871095529459,2885.66958931966,2550.217060463067,2302.3096015672722,2032.0833410565883,1902.0280751995554,1824.5128150495025,1752.5346058369119,1726.462691969631,1690.3960072680948,1675.681400167531,1663.5799107683235,1656.3398669323244,1652.9126277984212,1649.7497667815624,1647.542911751726,1646.322504448199,1645.7857185608043,1645.500660732732,1645.2860300683326,1645.1806800562417,1645.1181147225018,1645.0602085325656,1645.0406849004057,1645.0261739597888,1645.0225288814042,1645.0189131485497
